Waktu,id,Username,Text;
"2021-06-16 00:02:05,1404952381113081858,💨,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
"2021-06-16 00:00:45,1404952049268060165,Riri,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
"2021-06-15 23:58:18,1404951432109854724,Mirza Agus Faishal,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
"2021-06-15 23:55:08,1404950633325600768,Kereta Api Indonesia,""b'Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi,\xe2\x80\xa6 https://t.co/tHc5bS3Si9'""";
"2021-06-15 21:54:10,1404920191943729153,Welly Waisapey,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
2021-06-15 20:35:06,1404900294266290176,Pariwisata & Ekonomi Kreatif,b'Ayo dukung program vaksinasi agar Parekraf Indonesia segera bangkit kembali! \xf0\x9f\x98\x89 \n\n#InDOnesiaCARE\n#WonderfulIndonesia\xe2\x80\xa6 https://t.co/SBG6YXoHKl';
"2021-06-15 15:56:21,1404830144364122116,#ExploreToraja,""b'RT @kbrisingapura: \xe2\x80\x9cExperiencing Indonesia\xe2\x80\x9d: Kopi Arabika Toraja. \n.\nKopi yang berasal dari tanah Toraja, Sulawesi Selatan ini memiliki ras\xe2\x80\xa6'""";
"2021-06-15 15:37:40,1404825443002245126,Hana Faoziah Roni,""b'Istiqlal Mosque \xf0\x9f\x95\x8c\nIcon Muslims Religion in Indonesia \xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\xf0\x9f\x93\x8dJl. Taman Wijaya Kusuma, Ps. Baru, Sawah Besar, Jakarta Pu\xe2\x80\xa6 https://t.co/uohx2Tocwg'""";
"2021-06-15 15:34:23,1404824614396518401,Ilham Akmal Rafi Pramudya,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
2021-06-15 14:24:35,1404807048542535693,Evi Dwi Pebriani,b'r a i n b o w\n.\n.\n#rainbow\n#pelangi\n#padarisland \n#komodonationalpark \n#wonderfulindonesia @ Padar Island https://t.co/eS6TRYh9nH';
2021-06-15 14:18:54,1404805620897878018,Adria Sukma Jayana,b'RT @KAI121: Pancaran fajar di pagi hari adalah pancaran semangat. Semangat baru di hari yang baru. Sambutlah pagi dengan senyuman dan suasa\xe2\x80\xa6';
"2021-06-15 14:18:12,1404805445160738825,Adria Sukma Jayana,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
2021-06-15 13:15:55,1404789770358775809,𝔉𝔞𝔯𝔦𝔡 ℜ𝔬𝔧𝔞𝔟 𝔄.,b'*Ciremai 3078Mdpl*\nVia Linggajati Track\n.\n.\n.\n.\n#ciremai #ciremai3078mdpl #kuninganjawabarat #jabar\xe2\x80\xa6 https://t.co/VWNBrPfyvJ';
"2021-06-15 11:42:15,1404766196931567616,S Budi,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
"2021-06-15 11:38:24,1404765227137179660,Avonturia,""b'Bentang perbukitan Menoreh, Jatimulyo, Kulonprogo.\n\n#GenPI #GenPIJogja #ExploreKulonprogo #WisataJogja\xe2\x80\xa6 https://t.co/gJxvXItG8J'""";
"2021-06-15 10:05:48,1404741924532092928,Widinarko,""b'@CNNIndonesia Memotong msa hukuman 6 th??? Dan dikasus lain, pelnggr prokes dituntut hukuman pnjara 6 th??\n#WonderfulIndonesia'""";
"2021-06-15 09:31:43,1404733347478138884,GenPI Jogja,""b'https://t.co/xYflHJLj0Z\n\nBakpia Salak Alris merupakan camilan khas Kabupaten Sleman, Jogja yang menggunakan olahan\xe2\x80\xa6 https://t.co/j5zRPYuveX'""";
"2021-06-15 09:10:53,1404728105587994627,#MenangMelawanKetololan,""b'RT @sitajir89: bangsa ini ada pemiliknya.\nkeprihatinan ini hrs dikonsul kpd ktu Adat, kpl suku, ketua ke agamaan, rajaraja kesultanan, komu\xe2\x80\xa6'""";
"2021-06-15 08:50:49,1404723055197184001,si Ahli Muda,""b'bangsa ini ada pemiliknya.\nkeprihatinan ini hrs dikonsul kpd ktu Adat, kpl suku, ketua ke agamaan, rajaraja kesulta\xe2\x80\xa6 https://t.co/QrdCz9QtV6'""";
"2021-06-15 07:56:10,1404709301097095171,Naufal_Ndut,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
"2021-06-15 05:48:13,1404677103463796741,Pariaman Tourism,""b'Apel pagi selasa, 15 Juni 2021\n\nSesuai instruksi Walikota Pariaman Bapak Genius Umar bahwa apel pagi ASN di lingkun\xe2\x80\xa6 https://t.co/HXaS1Q5nno'""";
2021-06-15 05:12:14,1404668045579018253,yohanes sugiarto,b'Yuk yang belum ke Labuan Bajo\xf0\x9f\xa4\x97\n\nMore info / reservasi;\nWhatsapp: +62 82147191655\n\n#labuanbajo #padarisland #Komodo\xe2\x80\xa6 https://t.co/czyPBVuXbX'
"2021-06-15 04:06:43,1404651558453710852,Novri Hargita Kusuma,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
"2021-06-15 03:59:33,1404649754236100610,Hayat,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
2021-06-15 02:39:32,1404629620423417859,ACI Lover,b'RT @genpi_jogja: Warung ini menjadi sangat terkenal seantero Nusantara karena pernah direview oleh Pak Bondan dan diliput oleh televisi Nas\xe2\x80\xa6';
"2021-06-15 02:12:35,1404622836266782722,D H A N I,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
"2021-06-15 02:00:44,1404619855949557761,Layla,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
"2021-06-15 01:57:44,1404619099980722178,Bontot Komar,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
"2021-06-15 01:31:30,1404612496992866308,Lugas,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
"2021-06-15 01:18:50,1404609310936637444,Indonesian Embassy Singapore,""b'\xe2\x80\x9cExperiencing Indonesia\xe2\x80\x9d: Kopi Arabika Toraja. \n.\nKopi yang berasal dari tanah Toraja, Sulawesi Selatan ini memilik\xe2\x80\xa6 https://t.co/isOaLciL9X'""";
"2021-06-15 01:08:40,1404606753254174722,•𝓦𝓲𝓴𝓪,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
"2021-06-15 01:04:46,1404605770050596867,E s t e r,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
"2021-06-15 01:04:34,1404605720981504001,Brili,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
